한국어,English,한자
관광 (-객),Tourism (tourist),
명소,Famous spot (lit. 유명한 장소),
기념품,Souvenir ,
입장료 (입장권),Admission fee (ticket),
단체 할인,Group discount,
무료 (공짜) ,free,
유료,For a fee,
숙박 시설,Accommodations,
특급 호텔,Five-star hotel,
관광 호텔,Tourist hotel,
모텔,Motel,
여관,Inn (usu. in rural area),
여인숙,Inn,
민박,B&B,
펜션,Vacation cabin,
바가지 쓰다 ,Rip off,
봉사료,Service fee,
외식하다,To eat out (at a restaurant),
외식 산업,Food service industry (restaurant industry),
면세점 (면세품),Duty free store (items),
놀이 공원 (놀이 동산),Amusement park,
여행사,Travel agency,
여행 일정,Itinerary  ,
여행 상품,Travel package,
패키지 여행,Package tour,
테마 여행,Theme travel,
효도 관광,Filial piety tourism (kids pay for parents to go on a trip),
성수기 (비수기),Peak season (off-season),
예약 확인하다 (취소하다),Confirm (cancel) a reservation,
전시회,Exhibition ,
출입국 관리,Immigration control,
여권,Passport,
비자,Visa,
환전,Exchange money,
여행자 수표,Traveler’s check ,
문화재,Cultural assets ,
낚시,fishing,
독서,reading,
우표수집,stamp collection,
사냥,hunting,
명절,Holiday,
추석,Chusok (Korean harvest festival),
신정,New Year’s Day (Gregorian calendar),
"설 (설구정, 설날)",lunar new year,
대보름,full moon,
주택,house,
한옥,Korean style house,
양옥,Western style house,
매표소,Ticket booth,
예매하다,To purchase in advance,
매진되다,To become sold out,
영화제,Movie festival,
전세,Deposit based rental,
월세,Monthly payment rental,
박물관,museum,
저작권,Copyright,
저작권 침해,copyright infringement,
