한국어,English,한자
초등학교,elementary school,
중학교,middle school,
고등학교,high school,
대학교,college (university),
대학원,graduate school,
전문 대학,vocational college,
유아원,nursery (daycare),
어린이집,preschool (daycare),
유치원 (영어 유치원),Kindergarten (English Kindergarten),
초등학생 (초딩),elementary school student,
중학생 (중딩),middle school student,
고등학생 (고딩),high school student,
대학생,college student,
대학원생,graduate school student,
공립학교,public school,
사립학교,private school,
공교육,public education,
사교육,private education,
학비 (등록금),Tuition ,
출석,present,
결석,absent,
동창 (동창회),Alumnus (reunion),
입학하다 (입학생),Entrance into a school ,
재학하다 (재학생),Enrolled student ,
휴학하다 (휴학생),Students on a leave of ,
복학하다 (복학생),Student returning to ,
졸업하다 (졸업생),graduate,
유학 (가다/오다; 유학생),study abroad (go/come; student studying abroad),
조기 유학생,Parachute kids (early childhood studying abroad),
"학점을 이수하다 (따다, 취득하다)",Complete  credits (acquire),
편입하다 (편입생),Transfer schools (transfer student),
"학기 (학기초, 학기말, 1학기, 2학기)","semester (beginning of, end of, first, second)",
학장,dean,
장학금,Scholarship,
학사,BA,
석사,MA,
박사,Doctorate,
교장,principal,
교감,vice principal,
담임 교사,homeroom teacher,
면접시험 ,interview,
총장,Chancellor ,
필기시험 ,written test,
구술 시험 (구두 시험),oral test,
상업고,commercial high school (business focused),
특목고 (특수 목적 고등학교),special focus high school,
선배,senior,
후배,junio,
남녀 공학,Coed school ,
왕따 (~를 당하다 / 시키다),outcast (suffer ostracization / to ostracize someone),
집단 따돌림 ,bullies,
장애,handicapped,
정신지체 장애,mental retardation,
시각 장애,blind,
청각장애,deaf,
