???,English,??,,,,
~? ? ??,know how to do ,,,,,
??,collaboration (cooperation),??,,,,
???,complications (medical),???,,,,
????,comorbidity,????,,,,
????,"to worry (strong, agonizing worry)",??,,,,
????,to worry (less than ??),??,,,,
~? ????,someone else wants to do ~,,,,,
~? ?? ??,someone else doesn't want to ~,,,,,
???," to increase (by piling up, cumulate)",,,,,
????,to be symbolic (?? - symbol),??,,,,
??????,to be way spicy,,,,,
?? ????,to have a tingling taste,,,,,
????,to be spicy,,,,,
??????,to be pretty spicy,,,,,
??,profusely,,,,,
???,to spill (like tears overflowing),,,,,
??,more (further),,,,,
???,consumer,???,,,,
????,complex (intricate)_,,,,,
???,organic,???,,,,
??,to yawn (not low quality item),,,,,
?? (??),low quality item (not to yawn),??,,,,
??,"appeal (charm, attraction)",??,,,,
????,no benefit at all,????,,,,
??,"a moment ago (just now, recent past)",,,,,
????,to be cheap (sino for ??),??,,,,
????,to be steady,,,,,
??? ??,to bring (??? for ??? ??),,,,,
????,another form of ??? ??,,,,,
??,resentment (bitterness),??,,,,
???,"to ask (beg, request, plead)",,,,,
?????,to be confused,,,,,
??? ????,to eat (???),,,,,
??? ????,to sleep (???),,,,,
??,absence (?? to be absent),??,,,,
??,presence (?? to be present),??,,,,
????,all night long,,,,,
????,four seasons (hanja representation),????,,,,
??,gradually,??,,,,
???? (??),to enlarge (to be enlarged),??,,,,
????,to be special (extraordinary),??,,,,
???,sexual harassment,???,,,,
???,sexual assault,???,,,,
???? ????,to turn down replacement,???? ????,,,,
??,"rage (fury, violent anger, wrath)",??,,,,
????,plan for prevention,?? ??,,,,
????,to replace (change),????,,,,
??? ????,"to change a minister (like Minister of War/Minister of State, etc)",??? ????,,,,
????,to be thorough (exhaustive),????,,,,
????,"impartial (rigid, fair, strict)",????,,,,
???,indifferent,???,,,,
????,to continue (persist),????,,,,
???,newborn baby,???,,,,
??,kid (toddler),,,,,
?? (??),kid (up to 10),?? (??),,,,
???,adolescent,???,,,,
??,young adult,,,,,
??,middle aged adult,??,,,,
??,elder,??,,,,
??,cause of death,??,,,,
??,death (demise),??,,,,
????,"to be horrible (cruseom, horrible)",,,,,
?? ??,self-pity,????,,,,
????,life sentence,????,,,,
??,"fury (rage, violent anger; similar to ??)",??,,,,
??,"miracle (whistle, wonder)",??,,,,
????,evil,????,,,,
????,evil (? is first syllable in this one),????,,,,
???,"lightly (slowly, gently, secretly)",,,,,
